Nome,Squadra,R,name_norm
Bailey,Roma,C,bailey
Belghali,Verona,D,belghali
Bonfanti,Atalanta,D,bonfanti
Cham,Verona,D,cham
Coppola F.,Pisa,D,coppola f
Diouf,Inter,C,diouf
Esteves T.,Pisa,D,esteves t
Furlanetto,Lazio,P,furlanetto
Giovane,Verona,A,giovane
Gutierrez,Napoli,D,gutierrez
Liteta,Cagliari,C,liteta
Matic,Sassuolo,C,matic
Mbambi,Pisa,D,mbambi
Moro L.,Sassuolo,A,moro l
Nelsson,Verona,D,nelsson
Nicolas,Pisa,P,nicolas
Nunziante,Udinese,P,nunziante
Ordonez C.,Parma,C,ordonez c
Perez M.,Lecce,D,perez m
Pessina Mas.,Bologna,P,pessina mas
Rinaldi,Parma,P,rinaldi
Rowe,Bologna,C,rowe
Russo A.,Sassuolo,P,russo a
Sala A.,Lecce,C,sala a
Samooja,Lecce,P,samooja
Santiago,Verona,C,santiago
Siebert,Lecce,D,siebert
Sorensen O.,Parma,C,sorensen o
Sulemana K.,Atalanta,A,sulemana k
Torriani,Milan,P,torriani
Troilo,Parma,D,troilo
Vranckx,Sassuolo,C,vranckx
Zelezny,Roma,P,zelezny
